seed,n_dc,budget,datacenter_ids,arm,model_weights,active_models,offline_support_edges
48,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
48,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
49,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
50,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,0,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,1,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,2,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,3,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,4,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,5,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,6,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
51,8,3,0|1|2|3|4|5|6|7,7,rule_based,training_delay_tolerant|inference_latency_sensitive|workload_persistence,329
