n_dc,budget,S,queue_states,operation_states,policy_label,transition_variant,gate_mode,trust_floor,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
8,3,80,40,2,oracle,dense,deterministic,0.1,10,100.0,0.1296591146579395,0.0107085239352994,1.0,1.0,0.0
8,3,80,40,2,tw_gated_offline_low_rank,gated_offline_low_rank,deterministic,0.1,10,68.488278854411,0.1024455171896523,0.0083844416290289,0.4357333333333333,0.6847333333333333,495073.2316958277
