n_dc,budget,S,queue_states,operation_states,policy_label,transition_variant,gate_mode,trust_floor,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
8,3,80,40,2,oracle,dense,deterministic,0.1,10,100.0,0.1296591146579395,0.0107085239352994,1.0,1.0,0.0
8,3,80,40,2,tw_support_offline,support_offline,deterministic,0.1,10,73.91985515627076,0.1383140677757368,4.231152976206215e-07,0.5316,0.8012666666666668,378843.8572265944
