n_dc,budget,S,queue_states,operation_states,policy_label,transition_variant,gate_mode,trust_floor,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
8,3,80,40,2,oracle,dense,deterministic,0.1,10,100.0,0.1296591146579395,0.0107085239352994,1.0,1.0,0.0
8,3,80,40,2,tw_gated_offline,gated_offline,deterministic,0.1,10,70.10392107433776,0.1028351084958134,0.0084017193780399,0.4049333333333332,0.7267333333333333,462678.2863491732
