policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
global_ucb_tw,20262376,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,15580.136736160854,1558013.6736160854,1871862.7293438856,83.23332951675314,313849.0557278001,0.78,0.82,0.2009412819552952,0.0454760976288184,0.4857074170000004,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262377,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,3988.7594788681054,398875.9478868105,698275.1917598393,57.123030088114255,299399.2438730288,0.28,0.7,0.18114910905786846,0.039968437887127804,0.4646068750000003,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262378,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,1682.203316773085,168220.33167730848,768259.5037626534,21.896290361971047,600039.172085345,0.12,0.52,0.1772397894203979,0.03604700495887511,0.46566300000000016,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262379,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5319.593342723561,531959.3342723561,691239.8303132621,76.95727458750144,159280.49604090594,0.41,0.78,0.1823235662679682,0.03872144896611812,0.466132333,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262380,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9629.676009323466,962967.6009323467,1255748.1015370963,76.68477457808837,292780.50060474966,0.51,0.73,0.20484337422531762,0.0363825912303256,0.47331433299999937,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262381,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7722.731853571413,772273.1853571413,880900.551802695,87.66860047672168,108627.36644555372,0.49,0.65,0.1780155000495517,0.0378471095493799,0.4740855410000009,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262382,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9994.968018598222,999496.8018598221,1128836.620283241,88.54220211327255,129339.8184234188,0.6,0.79,0.17981394772032808,0.04635163841391951,0.48156320800000074,global_ucb_tw_dense,context_noise_refinement
global_ucb_tw,20262383,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4464.7533667637545,446475.3366763754,758628.0161745428,58.85299872363951,312152.6794981674,0.45,0.74,0.17684841252638991,0.03875984509226832,0.481391833,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262272,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7220.054138112777,722005.4138112777,879272.4944671784,82.11395424677747,157267.08065590065,0.62,0.86,0.1801451840287417,0.0404297224142445,0.4894546670000004,local_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262273,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8102.073449030773,810207.3449030773,1128763.5458798383,71.77830537320766,318556.20097676094,0.57,0.82,0.1653173803899757,0.0382722428495061,0.4942224160000013,local_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262274,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,14143.869802750662,1414386.980275066,1669143.0776465975,84.73731217034289,254756.09737153145,0.64,0.86,0.1906630829279603,0.0451397006660129,0.4855826660000026,local_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262275,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5184.658162705792,518465.8162705792,703466.0045074912,73.70161641763572,185000.18823691207,0.39,0.75,0.2003932369560054,0.034216569532087925,0.5014770829999993,local_ucb_tw_dense,context_noise_refinement
