S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
8,0.0,0.5,0.5,beta,0.1,tm_tw_refined_support_gated_offline_low_rank_best_beta,10,95.22623761249113,0.07608047088657044,2.4305450555194253e-07,0.71,0.875,54538.19044838797
8,0.0,1.0,1.0,beta,0.1,tm_tw_refined_gated_offline_best_beta,10,96.00761776513502,0.10787768955083596,0.02643847535808974,0.718,0.892,45002.87388558338
8,0.0,1.0,1.0,deterministic,0.1,exp4_dense,10,87.016993333373,0.1866705705823138,0.052309928788001114,0.604,0.806,134135.07978964975
8,0.0,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,71.25785279571495,0.18252829599631643,0.0404857291922784,0.483,0.735,263982.4421108499
8,0.0,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,83.87099649636004,0.18123540811695005,0.03934074166097751,0.585,0.8009999999999999,159765.37842192905
8,0.0,1.0,1.0,deterministic,0.1,oracle,10,100.0,0.1797616397115593,0.04345708920431967,1.0,1.0,0.0
8,0.0,1.0,1.0,deterministic,0.1,state_thompson,10,75.00781408480142,0.17951480857065963,0.04428507844043208,0.44299999999999995,0.6649999999999999,210424.73348970283
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_dense,10,81.96528042751763,0.1840173083081035,0.04059518562810755,0.562,0.764,168725.09513295145
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,66.73139911372635,0.1094799917172613,0.02627759954889154,0.465,0.724,326992.43871343427
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,10,72.19294917764589,0.11063091814468029,0.029913311065543107,0.516,0.745,247918.5694304675
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,10,89.25529791417017,0.18193220759290804,0.04444718300462451,0.632,0.8300000000000001,118261.29430187042
8,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,10,92.35926205670962,0.10897260697071923,0.026387830489176027,0.6839999999999999,0.8550000000000001,68336.79879137134
